creator,title,views,likes,comments,duration_secs,link,tags.primary_topic,tags.topic_category,tags.content_format,tags.sub_topics,tags.language
@ankitravindrajain,"How to Sell a ₹200 Bottle for ₹5,000 🚀 #shorts #salestips #salestraining",196543,4133,61,112.0,https://youtube.com/watch?v=z19NMfmm2dk,Selling technique,sales & negotiation,roleplay/skit,"['value-based selling', 'brand image positioning', 'sales demonstration', 'price justification']",hinglish
@ankitravindrajain,How to Answer ANY Sales Objection in 10 Seconds 🔥#salestips #salestraining,119864,3862,21,89.0,https://youtube.com/watch?v=71unyUdIlGA,sales objections,sales & negotiation,roleplay/skit,"['objection handling', 'closing techniques', 'sales responses', 'customer concerns']",hinglish
@ankitravindrajain,Sales Meeting Body Language: Why 90% of Salespeople Fail in the First 30 Seconds #salestips #sales,11022,572,97,79.0,https://youtube.com/watch?v=0BXfQaLw_D0,Body Language Sales,sales & negotiation,roleplay/skit,"['first impressions', 'sales meetings', 'sample presentation', 'price negotiation', 'masterclass promotion']",hinglish
@SanjayNuthraYT,Alex Hormozi didn’t start content to make money he started it for long-term leverage. #shorts,16555,385,1,31.0,https://youtube.com/watch?v=aSCVwZ3mnds,Alex Hormozi strategy,business strategy,talking head,"['content creation leverage', 'long-term vision', 'billionaire mindset', 'coaching business']",hindi
@MrVivekBindra,Can small investments really create big profits?,11149,314,3,60.0,https://youtube.com/watch?v=uKKT454gAMk,SIP investments,investing & finance,interview/podcast clip,"['systematic investment plan', 'wealth building strategies', 'compound growth', 'SWP withdrawals', 'EMI planning']",hinglish
@MrVivekBindra,हनुमान जी ने कैसे उठाया पूरा पर्वत? #shorts #drvivekbindra,23160,669,14,35.0,https://youtube.com/watch?v=8H_l_-ErWN0,Hanuman mythology,mythology & spirituality,roleplay/skit,"['Ravana character', 'Hanuman strength', 'Sanjeevani mountain', 'mythological story']",hindi
@MrVivekBindra,जब आरती खेतरपाल जी ने गाया कृष्ण भजन… पूरा माहौल हो गया दिव्य #shorts #drvivekbindra,21334,351,17,52.0,https://youtube.com/watch?v=K7mI1fDA5YE,Krishna Bhajan,mythology & spirituality,devotional/chant,"['Aarti Khetrapal', 'Radha Krishna', 'devotional singing', 'spiritual atmosphere']",hindi
@MrVivekBindra,"Radhe-Radhe or Radhe-Krishna, which is the right way to chant?",18475,505,8,71.0,https://youtube.com/watch?v=6qOBwPf0zBs,Radha chanting debate,mythology & spirituality,talking head,"['Radhe-Radhe vs Radhe-Krishna', 'Hare Krishna mantra', 'Radha naam significance', 'spiritual chanting practices', 'guru mantra guidance']",hinglish
@MrVivekBindra,"When divine energies come together, a celebration becomes truly meaningful. #shorts #drvivekbindra",12567,438,16,53.0,https://youtube.com/watch?v=xGDnD8SDrzo,divine celebration,mythology & spirituality,devotional/chant,"['divine energies', 'meaningful celebration', 'spiritual gathering']",english
@MrVivekBindra,Ye Decision Aapki Zindagi Bacha Sakta Hai,22271,789,6,58.0,https://youtube.com/watch?v=j1OkjKQ9qPI,Decision Making,personal development,storytelling,"['direction vs time', 'life choices', 'focus strategy', 'problem solving']",hinglish
@MrVivekBindra,"When music turns into devotion, magic like this is created... #shorts #drvivekbindra",17714,450,5,61.0,https://youtube.com/watch?v=9gZkcSKO2Kk,devotional chanting,mythology & spirituality,devotional/chant,"['Hari chant', 'spiritual music', 'devotional performance']",hindi
@MrVivekBindra,Aaj Samajh Aaya Log Manish Bhai Ko Itna Kyun Chahte Hain! JJ Communications #shorts #drvivekbindra,23115,350,8,35.0,https://youtube.com/watch?v=cF_1Tvg7PaE,Manish appreciation,motivational story,talking head,"['Punjabi poetry', 'personality traits', 'social respect']",hinglish
@MrVivekBindra,Sabse Bada Khan Kaun? Mera Answer Sunke Aap Hairaan Ho Jaoge! #shorts #drvivekbindra #khansir,25644,576,13,36.0,https://youtube.com/watch?v=AjenzkjIhKA,Greatest Khan,celebrity & pop culture,talking head,"['Bollywood comparison', 'Khan actors', 'surprising answer']",hinglish
@MrVivekBindra,India’s Pride The Great Khali Joins Dr Vivek Bindra’s Grand Celebration #khali #shorts #shortvideo,28282,542,7,39.0,https://youtube.com/watch?v=PIMoYJTRPl8,celebrity appearance,celebrity & pop culture,interview/podcast clip,"['Great Khali', 'Dr Vivek Bindra', 'celebration event', 'cultural song']",hindi
@MrVivekBindra,Not Just Friendship.. It’s Brotherhood ❤️ | Vivek Oberoi at Dr Vivek Bindra’s Birthday #shorts,26214,411,16,30.0,https://youtube.com/watch?v=CdyzWCmEI6Y,friendship and brotherhood,personal development,motivational monologue,"['celebrity friendship', 'brotherhood bond', 'birthday celebration']",english
@MrVivekBindra,हनुमान जी के बचपन की ये लीला हर किसी को चौंका देगी #shorts #shortvideo #hanumanji #drvivekbindra,41845,1563,32,103.0,https://youtube.com/watch?v=ZAKM1Av0jCE,Hanuman childhood story,mythology & spirituality,storytelling,"['Hanuman eating sun', 'Divine boons', ""Indra's vajra"", 'Hidden powers', 'Ramayana reference']",hinglish
@MrVivekBindra,Taj Hotel पर हमला… और Ratan Tata का ऐतिहासिक जवाब #shorts #shortvideo #drvivekbindra,33252,1490,21,85.0,https://youtube.com/watch?v=73cdhBmVGaY,Ratan Tata,history & biography,storytelling,"['Taj Hotel attack', '26/11 Mumbai', 'business ethics', 'patriotism']",hinglish
@MrVivekBindra,अहंकार का ऐसा अंत आपने कभी नहीं देखा होगा! #shorts #shortvideo #drvivekbindra #shortstory,38221,1104,14,70.0,https://youtube.com/watch?v=JkF09Undm8M,Bhasmasura story,mythology & spirituality,storytelling,"['ego destruction', 'Lord Shiva', 'Lord Vishnu', 'Mohini avatar', 'divine lesson']",hindi
@MrVivekBindra,Is the calendar we follow actually wrong? Kuldeep Singhania | #shorts #shortsvideo #drvivekbindra,28847,704,12,68.0,https://youtube.com/watch?v=D_W5ugwFObY,Calendar conspiracy,history & biography,interview/podcast clip,"['13-month calendar', 'moon orbit cycle', 'month naming origins', 'missing dates history', 'Julius Caesar', 'August Caesar']",hinglish
@MrVivekBindra,Are you following the trend… or fighting it? #shorts #shortvideo #deepakwadhwa #drvivekbindra,13056,369,7,45.0,https://youtube.com/watch?v=q9PpDGUkgEo,Portfolio rebalancing,investing & finance,interview/podcast clip,"['trend following', 'company performance', 'investment strategy', 'profit maximization', 'emotional investing']",hindi
@MrVivekBindra,जब तपस्या में लीन थे Gautam Buddha… और 108 घोंघों ने दे दिया अपना जीवन! #shorts #shortvideo,11503,314,5,42.0,https://youtube.com/watch?v=NSCmNSrQuSQ,Gautam Buddha,mythology & spirituality,storytelling,"['snail sacrifice', ""Buddha's meditation"", 'curly hair symbolism', 'compassion and sacrifice']",hindi
@MrVivekBindra,Is Elon Musk really preparing to leave Earth? #shorts #shortvideo #drvivekbindra,45250,1248,10,58.0,https://youtube.com/watch?v=fHsez_-673g,Elon Musk conspiracy,celebrity & pop culture,talking head,"['Mars mission', 'Tesla innovations', 'SpaceX purpose', 'AI and robotics', 'Earth destruction theory']",hindi
@MrVivekBindra,जय श्री राम vs जय सियाराम – फर्क क्या है? 99% लोग नहीं जानते! #rasrajjimaharaj #shorts #shortvideo,31110,715,17,41.0,https://youtube.com/watch?v=WkjRG7tFSsU,Jai Shri Ram,mythology & spirituality,talking head,"['Hanuman chants', 'Sunderkand significance', 'religious slogans', 'Ramayana story']",hindi
@MrVivekBindra,भारत का सबसे बेखौफ जनरल - Sam Manekshaw Story Hindi #shorts #shortvideo #drvivekbindra,17481,639,2,56.0,https://youtube.com/watch?v=vpxqu9_-qG8,Sam Manekshaw,history & biography,motivational monologue,"['Indian Army General', 'military leadership', 'courage and fearlessness', 'decorated officer', 'historical figure']",hindi
@MrVivekBindra,Honeyy Katiyal | Still guessing in real estate while others are multiplying their wealth? #shorts,11088,232,0,48.0,https://youtube.com/watch?v=eoz6Ml16jjI,real estate investing,investing & finance,interview/podcast clip,"['Dubai attacks', 'wealth building', 'broker vs developer', 'real estate strategy', 'crorepati formula']",hindi
@MrVivekBindra,इतिहास का सबसे खतरनाक हथियार: विषकन्याएं!,26269,658,8,33.0,https://youtube.com/watch?v=xJOLRZSS5xE,विषकन्याएं,history & biography,storytelling,"['चाणक्य', 'प्राचीन हथियार', 'राजाओं की हत्या']",hindi
@MrVivekBindra,"Ujjain Mahakal Darshan : सिर्फ यात्रा नहीं, एक दिव्य अनुभूति #shorts #ujjainmahakal #drvivekbindra",20857,1418,24,47.0,https://youtube.com/watch?v=uLAFzLK7GS8,Mahakal Darshan,mythology & spirituality,devotional/chant,"['Ujjain temple', 'Shiva worship', 'spiritual experience']",hindi
@MrVivekBindra,Not Just Acting… Kapil Sharma Lives Comedy in Real Life! #shorts #kapilsharma #drvivekbindra,23927,537,3,60.0,https://youtube.com/watch?v=fdjpyroFm8U,Kapil Sharma,celebrity & pop culture,interview/podcast clip,"['acting challenges', 'romance scenes', 'comfort zone', 'comedy vs romance']",hinglish
@MrVivekBindra,"विश्वास रखो, बजरंगबली सब संभाल लेंगे #shorts #hanumanjayanti #shortvideo",12622,577,20,57.0,https://youtube.com/watch?v=OxWsckGMIDU,Hanuman devotion,mythology & spirituality,devotional/chant,"[""Lord Rama's blessing"", ""Hanuman's eternal presence"", 'Kali Yuga protection', 'Hanuman Chalisa chant']",hindi
@MrVivekBindra,Are you making costly mistakes in the stock market? Deepak Wadhwa #shortvideo #shorts #drvivekbindra,17446,549,4,76.0,https://youtube.com/watch?v=oJ6AHcwn2OM,stock market psychology,investing & finance,interview/podcast clip,"['fear and greed', 'technical analysis', 'chart reading', 'EMA indicators', 'investor mistakes']",hindi
@MrVivekBindra,India’s Real Estate Secrets EXPOSED | Honeyy Katiyal Podcast #shorts #drvivekbindra #shortvideo,15061,299,8,24.0,https://youtube.com/watch?v=cF9GE8BBrdU,Real Estate Podcast,investing & finance,talking head,"['podcast promotion', 'real estate industry', 'investment advice']",hindi
@MrVivekBindra,ये कहानी आपको अंदर तक हिला देगी Raja Harishchandra #shorts #shortvideo #drvivekbindra,28800,1178,14,178.0,https://youtube.com/watch?v=GpYQ9nQe7ec,Raja Harishchandra,mythology & spirituality,storytelling,"['truth and sacrifice', 'divine test', 'devotion and faith', 'Rishi Vishwamitra', 'ultimate sacrifice']",hindi
@MrVivekBindra,"IDEAL Method | Employees Ko Upgrade Karo, Business Ko 3X Grow Karo #shorts #drvivekbindra",12371,308,1,79.0,https://youtube.com/watch?v=SGas7DZrWsM,IDEAL Method,business strategy,talking head,"['manpower development', 'delegation strategy', 'task elimination', 'automation tactics', 'outsourcing liberation']",hinglish
@MrVivekBindra,How to Grow FAST Without Ads or Big Budget #shorts #shortvideo #businessstrategy #drvivekbindra,29898,863,8,53.0,https://youtube.com/watch?v=Y-yjQOEg0m0,Low-cost marketing,marketing,talking head,"['viral marketing', 'Fevicol campaign', 'unconventional strategy', 'Bhagavad Gita principle', 'guerrilla marketing']",hinglish
@MrVivekBindra,Big Marketing Fail? Red Label’s Viral Controversy #shorts #marketingstrategy #drvivekbindra,17389,809,4,111.0,https://youtube.com/watch?v=sR-NVPxRtSY,Marketing Controversy,marketing,talking head,"['Red Label campaign', 'brand crisis management', 'cultural sensitivity', 'quick recovery', 'business lessons']",hinglish
@MrVivekBindra,Small Village to Global Giant | Zoho Success Story,13932,432,2,44.0,https://youtube.com/watch?v=dB2tZLlUbzQ,Zoho Success Story,business strategy,talking head,"['geo-arbitrage strategy', 'cost advantage', 'rural employment model', 'US market revenue', 'Fortune 500 clients']",hinglish
@MrVivekBindra,सब कुछ अपने पास रखना ज़रूरी नहीं होता,40737,1687,16,136.0,https://youtube.com/watch?v=5w6KuN7qUY8,letting go,personal development,storytelling,"['life lessons', 'moving forward', 'detachment', 'motivational metaphor']",hindi
@MrVivekBindra,Silver vs Gold: The Shocking Truth Investors Must Know!,18630,721,6,84.0,https://youtube.com/watch?v=ybO6YzBJJgM,Silver vs Gold,investing & finance,interview/podcast clip,"['gold-silver ratio', 'investment opportunity', 'precious metals', 'gold prices', 'silver investment']",hinglish
@MrVivekBindra,Stop Sending Your Kids to School by Bus | Biggest Parenting Mistake?,18364,626,7,50.0,https://youtube.com/watch?v=_T25mJd2i2U,School commute advice,personal development,talking head,"['parenting mistake', 'time management', 'school selection', ""children's wellbeing""]",hindi
@MrVivekBindra,खुद की Value नहीं समझी तो ये होगा!,135564,3857,14,137.0,https://youtube.com/watch?v=wYgW63Qa6wE,Self Worth,motivational story,storytelling,"['Value Recognition', 'Marketing Power', 'Presentation Matters', 'Self Assessment']",hindi
@MrVivekBindra,Biggest Mistakes Every Content Creator Makes..,12962,394,6,47.0,https://youtube.com/watch?v=drouJarHzPg,content creator mistakes,content creation,talking head,"['copying others', 'unique identity', 'studying social media', 'consistent improvement']",hinglish
@MrVivekBindra,Are your private photos really safe… or could they leak anytime?,17482,766,2,82.0,https://youtube.com/watch?v=JMquzn-MPFw,Privacy Protection,tech & science,interview/podcast clip,"['Cybercrime threats', 'Photo leaks', 'Legal remedies', 'Reporting procedures', 'Online safety']",hindi
@MrVivekBindra,चाणक्य की ये कहानी आपको सोचने पर मजबूर कर देगी,20427,716,5,60.0,https://youtube.com/watch?v=vBqc-gEyLfY,Chanakya story,mythology & spirituality,storytelling,"[""mother's love"", 'sacrifice', 'astrology prediction', 'royal destiny']",hindi
@MrVivekBindra,"Who is greater,  Shri Ram or Shri Krishna?",16868,704,17,66.0,https://youtube.com/watch?v=T3YG1tbyCFo,Ram vs Krishna,mythology & spirituality,talking head,"['avatar differences', 'Treta vs Dwapara yuga', 'maryada vs prema', 'dharma teachings']",hindi
@MrVivekBindra,Is Barbeque Nation heading towards a downfall?,31393,1393,11,100.0,https://youtube.com/watch?v=kOhhRz3H384,Barbeque Nation decline,business strategy,talking head,"['capital intensive model', 'debt burden', 'operational costs', 'table turnover rate', 'shrinking margins', 'pricing strategy', 'restaurant business']",hindi
@MrVivekBindra,Navratri 9th Day: ये 1 बात बदल सकती है आपकी किस्मत!,10760,1099,18,39.0,https://youtube.com/watch?v=OekBs8oKuq4,Navratri 9th Day,mythology & spirituality,devotional/chant,"['Maa Siddhidatri', 'spiritual powers', 'Lord Shiva', 'success mantra']",hindi
@MrVivekBindra,राम नवमी 2026: श्रीराम के जीवन से सीखें सफलता और मर्यादा का मंत्र,14299,386,12,27.0,https://youtube.com/watch?v=6RbQdO6k7RI,Ram Navami,mythology & spirituality,devotional/chant,"['Shri Ram', 'dharma values', 'success lessons', 'moral conduct']",hindi
@MrVivekBindra,How did Rajiv Dixit bring Ayurveda back to life?,19373,996,7,69.0,https://youtube.com/watch?v=s4V1Y3r2A8E,Rajiv Dixit Ayurveda,history & biography,talking head,"['Ayurveda revival', 'Education awareness', 'Doctor demand increase', 'Salary growth comparison', 'Global wellness centers']",hindi
@MrVivekBindra,Navratri Day 8: माँ महागौरी का रहस्य जो आपकी ज़िंदगी बदल सकता है,11763,1412,10,42.0,https://youtube.com/watch?v=C9B3wbx3txM,Maa Mahagauri,mythology & spirituality,devotional/chant,"['Navratri Day 8', 'Goddess Parvati', 'worship rituals', 'divine transformation', 'spiritual powers']",hindi
@daminitripathi,Starting Ecommerce? Watch This First ⚡,29569,2331,6,56.0,https://youtube.com/watch?v=IVaplXYbJXQ,China sourcing,ecommerce,roleplay/skit,"['Instagram accounts', 'product sourcing', 'warehouse tours', 'import export', 'manufacturing tips']",hinglish
@daminitripathi,Ecommerce Apps Can Double Your Revenue 📈,13490,721,10,47.0,https://youtube.com/watch?v=_iQ6S8anTo0,ecommerce apps,ecommerce,tutorial/listicle,"['Shopify tools', 'COD payments', 'WhatsApp automation', 'cart abandonment', 'UGC videos', 'conversion rate']",hinglish
