creator,title,views,likes,comments,duration_secs,link,tags.primary_topic,tags.sub_topics,tags.content_format,tags.language
@MrVivekBindra,अहंकार का ऐसा अंत आपने कभी नहीं देखा होगा! #shorts #shortvideo #drvivekbindra #shortstory,38221,1104,14,70.0,https://youtube.com/watch?v=JkF09Undm8M,Mythological Story,"['Bhasmasur Legend', 'Lord Shiva', 'Lord Vishnu', 'Mohini Avatar', 'Pride Downfall']",Storytelling Narration,hindi
@MrVivekBindra,Is the calendar we follow actually wrong? Kuldeep Singhania | #shorts #shortsvideo #drvivekbindra,28847,704,12,68.0,https://youtube.com/watch?v=D_W5ugwFObY,Calendar Conspiracy,"['13 month calendar', 'Month names etymology', 'Julian calendar history', 'Moon orbit cycle', 'Missing dates October', 'Julius Caesar', 'Augustus Caesar']",Interview discussion,hinglish
@MrVivekBindra,Are you following the trend… or fighting it? #shorts #shortvideo #deepakwadhwa #drvivekbindra,13056,369,7,45.0,https://youtube.com/watch?v=q9PpDGUkgEo,Stock Investment Strategy,"['Portfolio Rebalancing', 'Trend Following', 'Company Performance', 'Rakesh Jhunjhunwala', 'Investment Philosophy']",Interview Discussion,hindi
@MrVivekBindra,जब तपस्या में लीन थे Gautam Buddha… और 108 घोंघों ने दे दिया अपना जीवन! #shorts #shortvideo,11503,314,5,42.0,https://youtube.com/watch?v=NSCmNSrQuSQ,Gautam Buddha,"['meditation story', 'snails sacrifice', ""Buddha's hair"", 'compassion symbolism', 'spiritual legend']",mythological story,hindi
@MrVivekBindra,Is Elon Musk really preparing to leave Earth? #shorts #shortvideo #drvivekbindra,45250,1248,10,58.0,https://youtube.com/watch?v=fHsez_-673g,Elon Musk conspiracy,"['Mars mission theories', 'Dark secrets speculation', 'Earth destruction theory', 'Tesla electric cars', 'SpaceX purpose', 'AI and robots', 'Innovation ecosystem']",Conspiracy theory discussion,hindi
@MrVivekBindra,जय श्री राम vs जय सियाराम – फर्क क्या है? 99% लोग नहीं जानते! #rasrajjimaharaj #shorts #shortvideo,31110,715,17,41.0,https://youtube.com/watch?v=WkjRG7tFSsU,Religious chants,"['Jai Shri Ram', 'Jai Siyaram', 'Hanuman devotion', 'Sunderkand reference', 'Ramayana stories', 'Jai Raghuveera', 'Jai Narasimha', 'Context-based mantras']",Religious explanation,hindi
@MrVivekBindra,भारत का सबसे बेखौफ जनरल - Sam Manekshaw Story Hindi #shorts #shortvideo #drvivekbindra,17481,639,2,56.0,https://youtube.com/watch?v=vpxqu9_-qG8,Sam Manekshaw Biography,"['Military Leadership', 'Indian Army General', 'Courage and Fearlessness', 'Career Success', 'Motivational Story']",Motivational Biography,hindi
@MrVivekBindra,Honeyy Katiyal | Still guessing in real estate while others are multiplying their wealth? #shorts,11088,232,0,48.0,https://youtube.com/watch?v=eoz6Ml16jjI,Real Estate Business,"['Dubai geopolitics impact', 'Wealth building formula', 'Broker to developer', 'Real estate investment', 'Developer relationships']",Interview teaser,hinglish
@MrVivekBindra,इतिहास का सबसे खतरनाक हथियार: विषकन्याएं!,26269,658,8,33.0,https://youtube.com/watch?v=xJOLRZSS5xE,Vish Kanyas,"[""Chanakya's strategy"", 'Ancient warfare', 'Historical weapons', 'Poison training']",Historical storytelling,hindi
@MrVivekBindra,"Ujjain Mahakal Darshan : सिर्फ यात्रा नहीं, एक दिव्य अनुभूति #shorts #ujjainmahakal #drvivekbindra",20857,1418,24,47.0,https://youtube.com/watch?v=uLAFzLK7GS8,Ujjain Mahakal Darshan,"['Spiritual experience', 'Temple visit', 'Devotional chanting', 'Religious tourism']",Devotional spiritual,hindi
@MrVivekBindra,Not Just Acting… Kapil Sharma Lives Comedy in Real Life! #shorts #kapilsharma #drvivekbindra,23927,537,3,60.0,https://youtube.com/watch?v=fdjpyroFm8U,Kapil Sharma,"['Acting challenges', 'Comedy vs romance', 'Real vs stage personality', 'Director Abbas-Mustan', 'Comfort zone']",Interview discussion,hinglish
@MrVivekBindra,"विश्वास रखो, बजरंगबली सब संभाल लेंगे #shorts #hanumanjayanti #shortvideo",12622,577,20,57.0,https://youtube.com/watch?v=OxWsckGMIDU,Hanuman devotion,"[""Lord Rama's blessing"", 'Kaliyuga protection', 'Hanuman Chalisa recitation', 'Devotee assistance', 'Divine promise']",Religious narration,hindi
@MrVivekBindra,Are you making costly mistakes in the stock market? Deepak Wadhwa #shortvideo #shorts #drvivekbindra,17446,549,4,76.0,https://youtube.com/watch?v=oJ6AHcwn2OM,Stock Market Psychology,"['Fear and Greed', 'Investor Mistakes', 'Technical Charts', 'EMA Indicators', 'Profit Loss Behavior']",Interview Discussion,hindi
@MrVivekBindra,India’s Real Estate Secrets EXPOSED | Honeyy Katiyal Podcast #shorts #drvivekbindra #shortvideo,15061,299,8,24.0,https://youtube.com/watch?v=cF9GE8BBrdU,Real Estate,"['Podcast Promotion', 'Investors Clinic', 'Dr Vivek Bindra']",Promotional Teaser,hindi
@MrVivekBindra,ये कहानी आपको अंदर तक हिला देगी Raja Harishchandra #shorts #shortvideo #drvivekbindra,28800,1178,14,178.0,https://youtube.com/watch?v=GpYQ9nQe7ec,Raja Harishchandra,"['Truth and sacrifice', 'Divine test', 'Family separation', 'Ultimate devotion', 'Rishi Vishwamitra', 'Moral story']",Motivational storytelling,hindi
@MrVivekBindra,"IDEAL Method | Employees Ko Upgrade Karo, Business Ko 3X Grow Karo #shorts #drvivekbindra",12371,308,1,79.0,https://youtube.com/watch?v=SGas7DZrWsM,Business Management,"['IDEAL Method', 'Employee Development', 'Delegation Strategy', 'Work Automation', 'Business Growth', 'Manpower Optimization', 'Outsourcing Tips']",Educational Tutorial,hinglish
@MrVivekBindra,How to Grow FAST Without Ads or Big Budget #shorts #shortvideo #businessstrategy #drvivekbindra,29898,863,8,53.0,https://youtube.com/watch?v=Y-yjQOEg0m0,Marketing Strategy,"['Low-cost marketing', 'Viral marketing', 'Fevicol campaign', 'Bhagavad Gita principle', 'Guerrilla marketing']",Educational storytelling,hindi
@MrVivekBindra,Big Marketing Fail? Red Label’s Viral Controversy #shorts #marketingstrategy #drvivekbindra,17389,809,4,111.0,https://youtube.com/watch?v=sR-NVPxRtSY,Marketing Controversy,"['Red Label Campaign', 'Kumbh Mela Advertisement', 'Cultural Sensitivity', 'Brand Crisis Management', 'Consumer Backlash', 'Swami Ramdev Criticism', 'Campaign Correction', 'Business Learning']",Educational storytelling,hindi
@MrVivekBindra,Small Village to Global Giant | Zoho Success Story,13932,432,2,44.0,https://youtube.com/watch?v=dB2tZLlUbzQ,Zoho Success Story,"['Geo Arbitrage Strategy', 'US Revenue Model', 'Rural Employment', 'Cost Advantage', 'Fortune 500 Clients']",Business Case Study,hindi
@MrVivekBindra,सब कुछ अपने पास रखना ज़रूरी नहीं होता,40737,1687,16,136.0,https://youtube.com/watch?v=5w6KuN7qUY8,Life lesson,"['Letting go', 'Moving forward', 'Attachment detachment', 'Problem solving', 'Personal growth']",Storytelling parable,hindi
@MrVivekBindra,Silver vs Gold: The Shocking Truth Investors Must Know!,18630,721,6,84.0,https://youtube.com/watch?v=ybO6YzBJJgM,Investment strategy,"['Gold silver ratio', 'Silver investment opportunity', 'Gold price trends', 'Precious metals comparison', 'Jewelry affordability']",Expert discussion,hindi
@MrVivekBindra,Stop Sending Your Kids to School by Bus | Biggest Parenting Mistake?,18364,626,7,50.0,https://youtube.com/watch?v=_T25mJd2i2U,School Selection,"['Commute Time', 'Parenting Advice', ""Child's Daily Schedule"", 'Nearby Schools']",Educational Advice,hindi
@MrVivekBindra,खुद की Value नहीं समझी तो ये होगा!,135564,3857,14,137.0,https://youtube.com/watch?v=wYgW63Qa6wE,Self-worth story,"['Value recognition', 'Marketing perspective', 'Presentation matters', 'Self-perception lesson', 'Motivational parable']",Story narration,hindi
@MrVivekBindra,Biggest Mistakes Every Content Creator Makes..,12962,394,6,47.0,https://youtube.com/watch?v=drouJarHzPg,Content Creation Mistakes,"['Copying Others', 'Finding Unique Identity', 'Social Media Study', 'Time Investment', 'Continuous Learning', 'Being the Best']",Educational Advice,hinglish
@MrVivekBindra,Are your private photos really safe… or could they leak anytime?,17482,766,2,82.0,https://youtube.com/watch?v=JMquzn-MPFw,Cybercrime Prevention,"['Photo Leak Threats', 'WhatsApp Scams', 'Filing Police Complaints', 'Cybercrime Reporting', 'Anonymous Complaints', 'Photo Removal Services']",Educational Dialogue,hindi
@MrVivekBindra,चाणक्य की ये कहानी आपको सोचने पर मजबूर कर देगी,20427,716,5,60.0,https://youtube.com/watch?v=vBqc-gEyLfY,Chanakya story,"[""mother's love"", 'self-sacrifice', 'astrology prediction', 'power renunciation', 'moral values']",storytelling narration,hindi
@MrVivekBindra,"Who is greater,  Shri Ram or Shri Krishna?",16868,704,17,66.0,https://youtube.com/watch?v=T3YG1tbyCFo,Ram vs Krishna,"['Avatar differences', 'Yugas explained', 'Maryada vs Prem', 'Divine purpose', 'Treta vs Dwapara']",Spiritual discourse,hinglish
@MrVivekBindra,Is Barbeque Nation heading towards a downfall?,31393,1393,11,100.0,https://youtube.com/watch?v=kOhhRz3H384,Barbeque Nation decline,"['Capital intensive model', 'High debt burden', 'Operational costs', 'Slow table turnover', 'Shrinking margins', 'Stock price fall', 'Business case study']",Business analysis,hindi
@MrVivekBindra,Navratri 9th Day: ये 1 बात बदल सकती है आपकी किस्मत!,10760,1099,18,39.0,https://youtube.com/watch?v=OekBs8oKuq4,Navratri 9th Day,"['Maa Siddhidatri', 'Eight Siddhis', 'Lord Shiva', 'Ardhanarishwar form', 'Success mantra']",Religious educational,hindi
@MrVivekBindra,राम नवमी 2026: श्रीराम के जीवन से सीखें सफलता और मर्यादा का मंत्र,14299,386,12,27.0,https://youtube.com/watch?v=6RbQdO6k7RI,Ram Navami,"['Lord Ram', 'Success lessons', 'Righteousness', 'Dharma', 'Religious chanting']",Devotional chant,hindi
@MrVivekBindra,How did Rajiv Dixit bring Ayurveda back to life?,19373,996,7,69.0,https://youtube.com/watch?v=s4V1Y3r2A8E,Rajiv Dixit Ayurveda,"['Ayurveda awareness campaign', 'Education system critique', 'AYUSH seat occupancy', 'All India Ayurveda Institute', 'Doctor salary growth', 'Global wellness tourism']",Educational narrative,hindi
@MrVivekBindra,Navratri Day 8: माँ महागौरी का रहस्य जो आपकी ज़िंदगी बदल सकता है,11763,1412,10,42.0,https://youtube.com/watch?v=C9B3wbx3txM,Navratri Day 8,"['Maa Mahagauri', 'Hindu mythology', 'Goddess Parvati', 'Religious worship', 'Spiritual benefits']",Religious educational,hindi
@daminitripathi,Starting Ecommerce? Watch This First ⚡,29569,2331,6,56.0,https://youtube.com/watch?v=IVaplXYbJXQ,Ecommerce Sourcing,"['China Product Sourcing', 'Instagram Accounts', 'Warehouse Information', 'Import Export', 'Manufacturing Shipping', 'Product Pricing']",Conversational Advice,hindi
@daminitripathi,Ecommerce Apps Can Double Your Revenue 📈,13490,721,10,47.0,https://youtube.com/watch?v=_iQ6S8anTo0,Ecommerce Apps,"['COD King app', 'Partial COD payments', 'Zoco app', 'WhatsApp automation', 'Cart abandonment recovery', 'Reelify app', 'Shoppable UGC videos', 'Conversion rate optimization', 'Shopify tools']",Educational tutorial,hindi
